item,skill_tokusyukouka,hosei_per,hosei_value,kougekizi_no_kakuritu_hosei,hanekaesu_kakuritu_hosei,tern_kaisizi_sentou_syuuryouzi,condition,genkaitoppa,rensei
"サマーメモリー","さいだいMP",,10,,,,"【大神官】",,
"サマーメモリー","ラリホー",,,,,,,,
"サマーメモリー","シャナク",,,,,,,,
"サマーメモリー","ザオラル",,,,,,,,
"サマーメモリー","チアフルマジックバリア",,,,,,,,
"サマーメモリー","夏の渚のベホマラー",,,,,,,,
"サマーメモリー","戦闘終了時にMPを回復する",,,,,10,,,
"サマーメモリー","さいだいMP",,12,,,,"【得】",,
"サマーメモリー","かいふく魔力",,12,,,,"【得】",,
"サマーメモリー","かいふく魔力ブースト",,,,,,,,
"サマーメモリー","いきなりまもりのたて",,,,,,,,
"どうの大剣","攻撃力",,5,,,,"【得】",,
"やみのころもの黒炎","こうげき魔力",,20,,,,,,
"やみのころもの黒炎","じゅもんダメージ",10,,,,,,,
"やみのころもの黒炎","マヒャド",,,,,,,,
"やみのころもの黒炎","いてつくはどう",,,,,,,,
"やみのころもの黒炎","サイコストーム",,,,,,,,
"やみのころもの黒炎","マヒャデドス",,,,,,,,
"やみのころもの黒炎","ゾンビ系へのダメージ",5,,,,,,,
"やみのころもの黒炎","ドラゴン系へのダメージ",5,,,,,,,
"やみのころもの黒炎","ヒャド属性じゅもんダメージ",10,,,,,,,
"やみのころもの黒炎","戦闘終了時にMPを回復する",,,,,10,,,
"やみのころもの黒炎","甘美なる闇",,,,,,,,
"やみのころもの黒炎","死絶の冷気",,,,,,,,
"ラーミアのムチ","すばやさ",,10,,,,"【ニンジャ】",,
"ラーミアのムチ","攻撃力",,5,,,,"【大神官】",,
"ラーミアのムチ","マジックウィップ",,,,,,,,
"ラーミアのムチ","マヌーハ",,,,,,,,
"ラーミアのムチ","ラーミアの祝福",,,,,,,,
"ラーミアのムチ","不死鳥のほむら",,,,,,,,
"ラーミアのムチ","けもの系へのダメージ",5,,,,,,,
"ラーミアのムチ","ドラゴン系へのダメージ",5,,,,,,,
"ラーミアのムチ","攻撃力",,12,,,,"【得】",,
"ラーミアのムチ","いきなりピオリム",,,,,,,,
"ラーミアのムチ","まばゆき翼",,,,,,,,
"まじんのオノ","攻撃力",,5,,,,"【パラディン】",,
"まじんのオノ","ゴッドガード発動率",5,,,,,,,
"まじんのオノ","火炎はらい斬り",,,,,,,,
"まじんのオノ","闘志注入",,,,,,,,
"まじんのオノ","不屈の氷斧",,,,,,,,
"まじんのオノ","鳥系へのダメージ",5,,,,,,,
"まじんのオノ","会心率",2,,,,,,,
"まじんのオノ","攻撃力",,12,,,,"【得】",,
"まじんのオノ","歴戦の覇気・斧",,,,,,,,
"まじんのオノ","必中の極意",,,,,,,,
"ゾンビキラー","攻撃力",,5,,,,"【パラディン】",,
"ゾンビキラー","グレイトウォール発動率",5,,,,,,,
"ゾンビキラー","火炎はらい斬り",,,,,,,,
"ゾンビキラー","闘志注入",,,,,,,,
"ゾンビキラー","不屈の絶剣",,,,,,,,
"ゾンビキラー","鳥系へのダメージ",5,,,,,,,
"ゾンビキラー","ゾンビ系へのダメージ",5,,,,,,,
"ゾンビキラー","攻撃力",,12,,,,"【得】",,
"ゾンビキラー","歴戦の覇気・剣",,,,,,,,
"ゾンビキラー","必中の極意",,,,,,,,
"闇はらう光の大剣","攻撃力",,5,,,,"【得】",,
"闇はらう光の大剣","ゾーマへのダメージ",5,,,,,,,
"闇はらう光の大剣","きあいため",,,,,,,,
"闇はらう光の大剣","ギガ空裂斬",,,,,,,,
"闇はらう光の大剣","ギガブレード",,,,,,,,
"闇はらう光の大剣","????系へのダメージ",10,,,,,,,
"闇はらう光の大剣","攻撃力",,12,,,,"【得】",,
"闇はらう光の大剣","デイン属性斬撃・体技ダメージ",,,,,,"【両】",,
"闇はらう光の大剣","スキルの斬撃ダメージ",,,,,,"【両】",,
"闇はらう光の大剣","勇者の覚悟",,,,,,,,
"闇はらう光の大剣","伝説のはじまり",,,,,,,,
"闇はらう光の大剣","勇者の挑戦",,,,,,,,
