no,kokoro,cost,keitou
1,"スライム",3,"スライム系"
2,"ドラキー",3,"鳥系"
3,"スライムベス",5,"スライム系"
4,"ゴースト",8,"ゾンビ系"
5,"モーモン",6,"悪魔系"
6,"しましまキャット",6,"けもの系"
7,"メーダ",14,"虫系"
8,"いたずらもぐら",8,"けもの系"
9,"リリパット",8,"怪人系"
10,"バブルスライム",9,"スライム系"
11,"びっくりサタン",9,"悪魔系"
12,"きりかぶこぞう",9,"植物系"
13,"メラリザード",17,"ドラゴン系"
14,"ファーラット",11,"けもの系"
15,"いっかくうさぎ",12,"けもの系"
16,"プチアーノン",12,"水系"
17,"さそりばち",12,"虫系"
18,"メラゴースト",12,"エレメント系"
19,"オニオーン",17,"植物系"
20,"キャタピラー",18,"虫系"
21,"メタルスライム",18,"スライム系"
22,"どくろあらい",15,"けもの系"
23,"おばけキャンドル",15,"物質系"
24,"あやしいかげ",15,"エレメント系"
25,"あばれこまいぬ",21,"けもの系"
26,"ぶちスライム",17,"スライム系"
27,"メタッピー",17,"マシン系"
28,"わらいぶくろ",21,"物質系"
29,"キメラ",32,"鳥系"
30,"キャットフライ",20,"けもの系"
31,"どろにんぎょう",21,"物質系"
32,"おおきづち",18,"怪人系"
33,"キラースコップ",23,"けもの系"
34,"ドルイド",24,"怪人系"
35,"ねこまどう",21,"けもの系"
36,"しのどれい",21,"ゾンビ系"
37,"みならいあくま",26,"悪魔系"
38,"おおくちばし",30,"鳥系"
39,"ホイミスライム",24,"スライム系"
40,"モコモコじゅう",24,"けもの系"
41,"メタルブラザーズ",29,"スライム系"
42,"グレムリン",32,"悪魔系"
43,"くさった死体",26,"ゾンビ系"
44,"ビッグハット",26,"けもの系"
45,"ドロヌーバ",30,"エレメント系"
46,"デザートゴースト",33,"けもの系"
47,"アルミラージ",27,"けもの系"
48,"スライムつむり",27,"スライム系"
49,"スノーモン",27,"悪魔系"
50,"キラービー",29,"虫系"
51,"スマイルロック",33,"物質系"
52,"ポイズンリザード",36,"水系"
53,"ひとくいサーベル",30,"物質系"
54,"プリズニャン",30,"けもの系"
55,"ミケまどう",32,"けもの系"
56,"マーブルン",32,"けもの系"
57,"ツンドラキー",32,"鳥系"
58,"チョコヌーバ",32,"エレメント系"
59,"キラーピッケル",32,"けもの系"
60,"スウィートバッグ",32,"物質系"
61,"メーダプリンス",32,"虫系"
62,"のろいの岩",32,"物質系"
63,"どくイモムシ",35,"虫系"
64,"スカルガルー",33,"けもの系"
65,"しびれくらげ",35,"水系"
66,"ドラキーマ",44,"鳥系"
67,"ヘルボックル",38,"植物系"
68,"ヘルビースト",39,"悪魔系"
69,"ベビーマジシャン",35,"悪魔系"
70,"がいこつ",39,"ゾンビ系"
71,"さまようよろい",42,"物質系"
72,"サイおとこ",75,"けもの系"
73,"タホドラキー",36,"鳥系"
74,"タップデビル",44,"悪魔系"
75,"ガチャコッコ",48,"マシン系"
76,"ギズモ",39,"エレメント系"
77,"ベビーサタン",39,"悪魔系"
78,"スライムナイト",39,"スライム系"
79,"ともしびこぞう",39,"物質系"
80,"キャットバット",48,"けもの系"
81,"たまねぎマン",60,"植物系"
82,"よろいのきし",51,"悪魔系"
83,"どくどくゾンビ",41,"ゾンビ系"
84,"トンブレロ",41,"けもの系"
85,"オーク",42,"けもの系"
86,"スライムタワー",45,"スライム系"
87,"ひとくいばこ",48,"物質系"
88,"ミイラ男",44,"ゾンビ系"
89,"ぐんたいガニ",45,"水系"
90,"ごろつき",45,"怪人系"
91,"ベビーニュート",51,"ドラゴン系"
92,"はぐれメタル",54,"スライム系"
93,"ひくいどり",47,"鳥系"
94,"ベロニャーゴ",50,"けもの系"
95,"ホークマン",54,"鳥系"
96,"どくやずきん",47,"怪人系"
